SEASON,PLAYER_NAME,FG3M,FG3A,FG3_PCT,GP
2004-05,Rasheed Wallace,75,236,0.318,79
2004-05,Clifford Robinson,67,193,0.347,71
2004-05,Robert Horry,51,138,0.37,75
2004-05,Predrag Drobnjak,25,71,0.352,71
2004-05,Mehmet Okur,17,63,0.27,82
2005-06,Clifford Robinson,60,175,0.343,80
2005-06,Robert Horry,53,144,0.368,63
2005-06,Brad Miller,34,88,0.386,79
2005-06,Eddie Griffin,16,82,0.195,70
2005-06,Zarko Cabarkapa,5,20,0.25,61
2006-07,Mehmet Okur,129,336,0.384,80
2006-07,Rasheed Wallace,104,296,0.351,75
2006-07,Al Harrington,73,175,0.417,42
2006-07,Robert Horry,50,149,0.336,68
2006-07,Brian Scalabrine,44,110,0.4,54
2007-08,Al Harrington,153,408,0.375,81
2007-08,Mehmet Okur,114,294,0.388,72
2007-08,Rasheed Wallace,112,315,0.356,77
2007-08,Troy Murphy,94,236,0.398,75
2007-08,Andrea Bargnani,90,261,0.345,78
2008-09,Troy Murphy,161,358,0.45,73
2008-09,Andrea Bargnani,119,291,0.409,78
2008-09,Matt Bonner,118,268,0.44,81
2008-09,Rasheed Wallace,113,319,0.354,66
2008-09,Mehmet Okur,90,202,0.446,72
2009-10,Channing Frye,172,392,0.439,81
2009-10,Troy Murphy,128,333,0.384,72
2009-10,Andrea Bargnani,121,325,0.372,80
2009-10,Matt Bonner,90,231,0.39,65
2009-10,Mehmet Okur,82,213,0.385,73
2010-11,Channing Frye,171,439,0.39,77
2010-11,Matt Bonner,105,230,0.457,66
2010-11,Kevin Love,88,211,0.417,73
2010-11,Andrea Bargnani,77,223,0.345,66
2010-11,Brad Miller,40,107,0.374,60
2011-12,Matt Bonner,105,250,0.42,65
2011-12,Kevin Love,105,282,0.372,55
2011-12,Channing Frye,91,263,0.346,64
2011-12,Andrea Bargnani,34,115,0.296,31
2011-12,Boris Diaw,31,99,0.313,57
2012-13,Byron Mullens,66,208,0.317,53
2012-13,Matt Bonner,53,120,0.442,68
2012-13,Patrick Patterson,51,132,0.386,71
2012-13,Andrea Bargnani,38,123,0.309,35
2012-13,Spencer Hawes,31,87,0.356,82
2013-14,Kevin Love,190,505,0.376,77
2013-14,Channing Frye,160,432,0.37,82
2013-14,Spencer Hawes,128,308,0.416,80
2013-14,Chris Bosh,74,218,0.339,79
2013-14,Jared Sullinger,56,208,0.269,74
2014-15,Chris Bosh,63,168,0.375,44
2014-15,Kelly Olynyk,61,175,0.349,64
2014-15,Spencer Hawes,55,176,0.313,73
2014-15,Boris Diaw,54,169,0.32,81
2014-15,Pero Antic,52,173,0.301,63
2015-16,Al Horford,88,256,0.344,82
2015-16,Meyers Leonard,86,228,0.377,61
2015-16,Kelly Olynyk,85,210,0.405,69
2015-16,Kristaps Porziņģis,81,243,0.333,72
2015-16,DeMarcus Cousins,70,210,0.333,65
2016-17,Brook Lopez,134,387,0.346,75
2016-17,DeMarcus Cousins,131,363,0.361,72
2016-17,Frank Kaminsky,116,354,0.328,75
2016-17,Marc Gasol,104,268,0.388,74
2016-17,Marreese Speights,103,277,0.372,82
2017-18,Dirk Nowitzki,138,337,0.409,77
2017-18,Kevin Love,137,330,0.415,59
2017-18,Karl-Anthony Towns,120,285,0.421,82
2017-18,Brook Lopez,112,325,0.345,74
2017-18,Nikola Jokić,111,280,0.396,75
2018-19,Brook Lopez,187,512,0.365,81
2018-19,Karl-Anthony Towns,142,355,0.4,77
2018-19,Marc Gasol,99,273,0.363,79
2018-19,Mike Muscala,89,256,0.348,64
2018-19,Nikola Vučević,84,231,0.364,80
2019-20,Kevin Love,146,390,0.374,56
2019-20,Jaren Jackson Jr.,145,368,0.394,57
2019-20,Kristaps Porziņģis,142,403,0.352,57
2019-20,Karl-Anthony Towns,114,277,0.412,35
2019-20,Lauri Markkanen,109,317,0.344,50
2020-21,Nikola Vučević,176,440,0.4,70
2020-21,Julius Randle,160,389,0.411,71
2020-21,Kelly Olynyk,126,368,0.342,70
2020-21,Karl-Anthony Towns,122,315,0.387,50
2020-21,Lauri Markkanen,119,296,0.402,51
2021-22,Kevin Love,187,477,0.392,74
2021-22,Karl-Anthony Towns,150,366,0.41,74
2021-22,Lauri Markkanen,136,380,0.358,61
2021-22,Jaren Jackson Jr.,128,401,0.319,78
2021-22,Julius Randle,120,390,0.308,72
2022-23,Julius Randle,218,636,0.343,77
2022-23,Lauri Markkanen,200,511,0.391,66
2022-23,Al Horford,145,325,0.446,63
2022-23,Kristaps Porziņģis,137,356,0.385,65
2022-23,Brook Lopez,136,364,0.374,78
2023-24,Lauri Markkanen,175,439,0.399,55
2023-24,Naz Reid,169,408,0.414,81
2023-24,Brook Lopez,148,404,0.366,79
2023-24,Karl-Anthony Towns,136,327,0.416,62
2023-24,Chet Holmgren,129,349,0.37,82
2024-25,Naz Reid,175,462,0.379,80
2024-25,Myles Turner,156,394,0.396,72
2024-25,Jaren Jackson Jr.,146,389,0.375,74
2024-25,Karl-Anthony Towns,142,338,0.42,72
2024-25,Victor Wembanyama,142,403,0.352,46
