SEASON,TEAM_ID,TEAM_NAME,GP,W,L,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,TOV,OFF_RATING,DEF_RATING,NET_RATING,PACE,EFG_PCT,TS_PCT
2004-05,1610612737,Atlanta Hawks,82,13,69,92.7,35.9,81.4,0.441,3.7,11.9,0.312,17.3,24.3,16.1,98.8,109.0,-10.2,93.09,0.464,0.504
2004-05,1610612738,Boston Celtics,82,45,37,101.3,37.1,79.4,0.468,5.3,15.3,0.349,21.6,28.3,15.8,105.9,105.1,0.8,94.61,0.501,0.551
2004-05,1610612766,Charlotte Bobcats,82,18,64,94.3,36.1,83.6,0.432,3.9,10.7,0.363,18.1,25.6,14.5,99.8,106.0,-6.2,93.54,0.455,0.497
2004-05,1610612741,Chicago Bulls,82,47,35,94.5,34.7,80.4,0.432,6.2,17.5,0.357,18.7,25.0,16.7,100.5,99.1,1.4,93.41,0.471,0.517
2004-05,1610612739,Cleveland Cavaliers,82,42,40,96.5,36.5,81.5,0.447,3.7,11.0,0.332,19.9,26.5,13.9,105.3,104.7,0.6,90.72,0.47,0.518
2004-05,1610612742,Dallas Mavericks,82,58,24,102.5,37.3,81.6,0.457,5.6,15.5,0.364,22.3,28.2,13.4,108.5,102.6,5.9,94.18,0.492,0.545
2004-05,1610612743,Denver Nuggets,82,49,33,99.5,37.0,80.7,0.459,3.9,11.5,0.34,21.5,28.2,14.9,104.7,102.6,2.2,94.68,0.483,0.535
2004-05,1610612765,Detroit Pistons,82,54,28,93.3,34.8,78.3,0.444,4.4,12.8,0.345,19.4,26.2,13.8,103.9,99.6,4.3,88.59,0.472,0.519
2004-05,1610612744,Golden State Warriors,82,34,48,98.7,36.9,85.8,0.43,7.6,21.6,0.352,17.2,23.8,13.6,103.4,105.5,-2.2,94.45,0.475,0.512
2004-05,1610612745,Houston Rockets,82,51,31,95.1,34.7,78.3,0.443,6.7,18.5,0.364,18.9,24.2,13.8,104.4,100.1,4.3,90.18,0.486,0.534
2004-05,1610612754,Indiana Pacers,82,44,38,93.0,32.5,75.2,0.432,6.6,19.2,0.344,21.3,26.9,14.3,103.7,102.7,1.0,88.71,0.476,0.534
2004-05,1610612746,Los Angeles Clippers,82,37,45,95.7,35.7,77.7,0.459,2.8,8.2,0.345,21.6,27.7,15.7,103.8,104.5,-0.8,90.66,0.477,0.533
2004-05,1610612747,Los Angeles Lakers,82,34,48,98.7,35.3,80.8,0.437,7.9,22.1,0.355,20.3,26.1,14.3,106.4,109.6,-3.2,92.34,0.485,0.535
2004-05,1610612763,Memphis Grizzlies,82,45,37,93.4,34.2,76.5,0.447,6.5,18.1,0.357,18.6,24.7,14.6,104.2,101.5,2.7,89.65,0.489,0.535
2004-05,1610612748,Miami Heat,82,59,23,101.5,37.8,77.7,0.486,5.8,15.4,0.377,20.2,30.1,13.7,108.9,102.2,6.7,91.73,0.524,0.559
2004-05,1610612749,Milwaukee Bucks,82,30,52,97.2,36.1,80.2,0.45,4.0,11.3,0.351,21.0,27.2,13.8,105.1,108.1,-3.0,92.14,0.475,0.527
2004-05,1610612750,Minnesota Timberwolves,82,44,38,96.8,37.1,80.8,0.459,4.8,14.0,0.345,17.7,22.2,13.2,106.6,105.0,1.6,90.39,0.489,0.534
2004-05,1610612751,New Jersey Nets,82,42,40,91.4,33.6,78.3,0.429,5.3,14.7,0.362,19.0,24.9,14.2,99.9,101.6,-1.7,90.41,0.463,0.512
2004-05,1610612740,New Orleans Hornets,82,18,64,88.4,33.1,80.0,0.415,5.1,16.0,0.315,17.1,22.3,14.8,98.2,105.9,-7.7,88.97,0.446,0.493
2004-05,1610612752,New York Knicks,82,33,49,97.3,36.3,80.5,0.451,5.4,15.1,0.356,19.3,25.1,14.7,104.5,107.2,-2.7,92.12,0.485,0.531
2004-05,1610612753,Orlando Magic,82,36,46,99.5,37.0,81.5,0.454,3.9,11.2,0.349,21.6,28.5,16.1,103.4,105.7,-2.3,96.15,0.478,0.529
2004-05,1610612755,Philadelphia 76ers,82,43,39,99.1,35.9,82.1,0.437,6.2,17.7,0.348,21.1,26.8,15.5,101.8,102.5,-0.7,96.56,0.475,0.528
2004-05,1610612756,Phoenix Suns,82,62,20,110.4,40.9,85.6,0.477,9.7,24.7,0.393,19.0,25.4,13.7,112.7,105.7,7.0,97.35,0.534,0.571
2004-05,1610612757,Portland Trail Blazers,82,27,55,92.9,35.3,78.3,0.451,5.1,14.2,0.362,17.2,23.7,16.0,101.9,106.1,-4.3,91.05,0.484,0.524
2004-05,1610612758,Sacramento Kings,82,50,32,103.7,39.1,85.1,0.459,6.4,17.0,0.374,19.2,24.4,13.1,108.8,106.5,2.3,94.52,0.496,0.541
2004-05,1610612759,San Antonio Spurs,82,59,23,96.2,35.6,78.7,0.453,6.2,17.0,0.363,18.7,25.9,13.7,106.1,97.8,8.3,89.96,0.492,0.534
2004-05,1610612760,Seattle SuperSonics,82,52,30,98.9,35.1,79.2,0.444,8.1,22.2,0.365,20.5,26.0,13.6,110.3,108.0,2.3,89.24,0.495,0.546
2004-05,1610612761,Toronto Raptors,82,33,49,99.7,36.0,81.2,0.444,7.9,20.5,0.385,19.8,25.6,13.3,105.4,107.2,-1.8,94.01,0.492,0.539
2004-05,1610612762,Utah Jazz,82,26,56,93.0,34.5,76.8,0.449,3.0,9.3,0.328,21.0,27.7,15.8,102.9,107.3,-4.4,90.02,0.469,0.522
